AcidRed871_0gL,L-Cysteine-100gL,MethyleneB_250mgL,NaCl-3M,NaOH-1M,P10-MIX1,PVP-1wt,RhodamineB1_0gL,SDS-1wt,Sodiumsilicate-1wt,Target
0.27080473,0.24839048,0.7304568,0.7531054,0.0,3.795,0.24619755,0.48353565,0.9813317,0.0,0.151581818
0.26077473,1.2511497,0.22013807,0.26896632,0.74086213,4.375,0.0,0.0,0.25292048,0.24913824,1.020435539
0.26077473,0.4783804,0.0,0.25103486,0.97113067,2.4,0.0,0.48353565,0.23268639,0.72748417,0.330874485
0.2507447,0.2299908,0.24015011,0.0,1.5217718,0.995,0.0,0.50368345,0.0,0.7474147,0.149466224
0.24071468,0.48758113,0.0,1.0041403,1.2614677,1.39,0.0,0.24176878,0.48560783,0.0,0.208638067
0.5014894,0.48758024,0.4903067,0.5110363,0.7408631,2.01,0.0,0.24176782,0.4957239,0.0,0.329486788
0.4914594,0.2483896,0.0,1.5062099,0.25029135,3.215,0.25645602,0.7655991,0.0,0.48831168,0.510935227
0.0,0.2483896,0.0,0.0,0.0,3.795,0.0,0.0,0.2428044,4.2453156,2.614264814
0.27080378,1.2327508,0.0,0.0,0.50058365,3.375,0.0,1.994587,0.0,0.0,1.290683342
0.0,0.48758113,0.0,0.0,0.0,4.995,0.0,0.0,0.0,0.0,3.243890028
0.0,0.4783804,0.0,0.0,0.0,4.995,0.0,0.0,0.0,0.0,2.988685172
0.0,0.27599,0.0,4.2586317,0.0,4.98,0.0,0.0,0.0,0.0,1.948774945
0.24071468,0.73597074,0.23014362,0.0,0.26030323,5.0,0.0,0.0,0.0,0.0,1.167144179
0.0,0.28518897,3.7523491,0.4931048,0.0,5.02,0.0,0.0,0.0,0.0,0.0
0.0,0.2483896,0.0,1.5062108,0.22025666,5.005,0.0,0.7454513,0.47549078,0.7573805,0.203083544
0.24071468,0.25759032,0.0,0.0,0.9611188,4.99,0.4923951,0.7555252,0.0,0.72748417,0.167043319
0.0,2.4839013,0.0,1.2462102,0.0,4.995,0.0,0.0,0.0,0.0,4.874229131
0.0,0.2299908,0.0,0.0,4.495232,4.985,0.0,0.0,0.0,0.0,0.842460414
4.513405,0.23919064,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.611415902
0.26077473,0.23919064,2.5115726,0.7441396,0.0,5.065,0.5026536,0.0,0.0,0.0,0.0
0.0,0.48758024,0.48030022,0.0,0.23026854,5.05,0.24619755,0.0,0.0,0.0,1.516076179
0.0,0.23919064,4.2626686,0.0,0.0,4.99,0.0,0.0,0.0,0.0,0.0
0.0,0.47838128,0.0,3.9986293,0.0,4.98,0.0,0.0,0.0,0.0,2.814925956
0.24071468,0.48758024,0.0,0.7531054,1.2314329,4.97,0.0,0.0,0.23268734,0.0,1.000388994
0.0,0.2299908,0.0,0.0,0.0,4.97,4.246912,0.0,0.0,0.0,1.658719934
0.0,0.4783804,0.0,0.0,0.0,5.01,0.0,0.0,0.0,0.0,3.086023316
0.0,0.48758024,0.0,0.0,0.0,4.97,0.0,0.0,0.0,0.0,3.090701557
0.5014894,0.47838128,0.49030766,0.25103486,0.23026758,4.985,0.48213762,0.0,0.0,0.0,0.882000191
0.0,4.72861,0.0,0.0,0.0,4.985,0.0,0.0,0.0,0.0,5.123514471
0.0,0.2299908,0.0,0.0,4.2449417,5.005,0.0,0.0,0.0,0.0,0.723724318
0.27080473,0.48758024,0.0,0.4931048,0.74086213,5.01,0.2256806,0.0,0.0,0.0,4.8656377
0.0,0.48758024,0.0,4.2406993,0.0,4.98,0.0,0.0,0.0,0.0,2.394540195
0.23068562,0.2299908,1.2407765,0.0,0.470548,5.01,0.0,0.7454513,0.0,0.7573805,0.0
0.0,0.2299908,4.4928126,0.0,0.0,4.99,0.0,0.0,0.0,0.0,0.0
0.0,0.23919064,0.0,0.7351739,0.0,5.01,3.477544,0.0,0.0,0.0,1.210028538
0.24071565,0.98436034,1.7410907,0.0,0.0,5.04,0.0,0.0,0.23268639,0.0,0.149983334
4.222541,0.2483896,0.0,0.0,0.0,5.015,0.0,0.0,0.0,0.0,0.667708441
0.0,4.4894204,0.0,0.0,0.0,4.975,0.0,0.0,0.0,0.0,5.503283488
2.7581918,0.27598915,0.0,0.0,1.4516906,5.015,0.0,0.0,0.0,0.0,0.168426546
0.0,0.23919064,1.0006274,0.0,0.48055893,5.02,0.23593907,0.7555252,0.0,0.73744893,0.171813784
0.4914594,0.7267709,0.7404633,0.0,0.0,5.005,0.4923961,0.0,0.24280342,0.0,0.307453311
0.0,0.48758024,0.0,0.0,0.0,4.985,0.0,0.0,0.0,0.0,3.036410558
0.0,0.48758113,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.747445953
0.0,3.523459,0.0,0.0,0.0,4.19,0.0,0.0,0.0,0.50824225,6.263277166
0.0,2.9990792,0.0,0.0,0.0,4.6,0.0,0.0,0.0,1.1958634,8.468736412
0.0,3.2474706,0.0,0.0,0.0,4.2,0.0,0.0,0.0,1.4848636,8.719445229
0.0,3.23827,0.0,0.0,0.0,4.805,0.0,0.0,0.0,1.2257596,8.934360517
0.0,2.9898813,0.0,0.0,0.0,4.595,0.0,0.0,0.0,0.7573805,8.039154099
0.0,3.2382708,0.0,0.0,0.0,4.75,0.0,0.0,0.0,0.9865881,8.902232244
0.0,2.9990792,0.0,0.0,0.0,4.805,0.0,0.0,0.0,1.2357254,10.11013307
0.0,0.2299908,0.7204513,0.0,0.0,1.79,3.7852905,0.0,0.0,0.0,0.160298434
0.0,3.229071,0.0,0.0,0.0,4.19,0.0,0.0,0.0,0.7573805,8.300328859
0.0,3.4866605,0.0,0.0,0.0,4.335,0.0,0.0,0.0,0.75737953,8.760529103
0.0,3.229071,0.0,0.0,0.0,4.85,0.0,0.0,0.0,1.4948294,11.05218562
0.0,4.2410307,0.0,0.0,0.0,4.835,0.24619755,0.0,0.0,0.23917247,6.004935755
0.0,0.22079095,0.74046427,0.0,0.0,1.51,3.7545161,0.0,0.0,0.0,0.165855939
0.0,3.2382708,0.0,0.0,0.0,4.57,0.0,0.0,0.0,0.72748417,9.252018357
0.0,0.50597996,0.0,0.0,0.0,4.94,0.0,0.0,0.0,0.0,3.732598847
0.0,0.48757938,0.0,0.0,0.0,4.975,0.0,0.0,0.0,0.0,3.529477574
0.0,3.7534506,0.0,0.0,0.0,4.37,0.2256806,0.0,0.0,0.73744893,5.323435923
0.0,3.735051,0.0,0.0,0.0,4.98,0.25645602,0.0,0.0,0.72748417,6.148709984
0.0,3.2474706,0.0,0.0,0.0,4.555,0.0,0.0,0.0,1.255657,9.083342489
0.0,3.23827,0.0,0.0,0.0,3.595,0.0,0.0,0.0,1.255657,8.269023843
0.0,3.24747,0.0,0.0,0.0,4.365,0.0,0.0,0.0,0.99655294,8.468700817
0.0,3.2474706,0.0,0.0,0.0,4.77,0.0,0.0,0.0,0.98658717,8.821016097
0.0,3.008279,0.0,0.0,0.0,5.02,0.0,0.0,0.0,1.4948294,10.68492042
0.0,4.00184,0.0,0.0,0.0,4.465,0.23593907,0.0,0.0,0.0,4.715763587
0.0,3.2658703,0.0,0.0,0.0,4.785,0.0,0.0,0.0,1.2456912,9.94715634
0.0,2.9806814,0.0,0.0,0.0,4.375,0.0,0.0,0.0,1.5047952,10.62057702
0.0,3.2566698,0.0,0.0,0.0,4.965,0.0,0.0,0.0,1.2357254,10.45931155
0.0,0.23919064,1.0006274,0.0,0.0,2.54,3.4980612,0.0,0.0,0.0,0.15722172
0.0,3.01748,0.0,0.0,0.0,4.425,0.0,0.0,0.0,0.99655294,9.063864691
0.0,3.2382708,0.0,0.0,0.0,5.055,0.0,0.0,0.0,1.4848636,11.34892136
0.0,0.46918055,0.0,0.0,0.0,5.085,0.0,0.0,0.0,0.0,3.434037984
0.0,0.50597996,0.0,0.0,0.0,5.1,0.0,0.0,0.0,0.0,3.397814747
0.26077473,2.4839005,0.0,0.25103486,0.0,4.965,0.0,0.0,0.0,0.7474147,2.5183092
0.0,2.9806814,0.0,0.0,0.0,5.04,0.0,0.0,0.0,1.7439677,9.827960946
0.0,3.4866614,0.0,0.0,0.0,4.41,0.23593907,0.0,0.0,0.7274832,5.801724972
0.0,2.9806805,0.0,0.0,0.0,4.95,0.0,0.23169488,0.0,1.2456912,2.038491117
0.0,3.008279,0.0,0.0,0.0,4.95,0.0,0.7454513,0.0,0.7374499,1.726384243
0.0,2.74149,0.0,0.0,0.0,4.945,0.0,0.0,0.0,1.9831411,10.58492216
0.0,3.51426,0.0,0.0,0.0,1.94,0.0,0.0,0.23268639,0.7274832,2.754773307
0.0,3.73505,0.0,0.0,0.0,3.7,0.0,0.0,0.0,0.99655294,8.351442433
0.0,2.4839013,0.0,0.0,0.0,2.365,0.0,0.0,0.0,1.7539334,8.922908308
0.0,2.732291,0.23014362,0.0,0.0,4.365,0.0,0.0,0.0,1.5047952,2.819886912
0.0,1.9963202,0.0,0.0,0.0,4.975,0.0,0.0,0.0,2.770417,13.01615412
0.0,3.5050592,0.0,0.0,0.0,2.97,0.25645602,0.0,0.0,0.49827647,5.354290957
0.0,2.9898803,0.0,0.0,0.0,4.98,0.9745327,0.23169488,0.0,0.0,2.279825523
0.0,3.7534497,0.0,0.2510357,0.0,4.455,0.23593907,0.0,0.0,0.0,5.267631687
0.0,0.49678096,0.0,0.0,0.0,5.05,0.0,0.0,0.0,0.0,3.652874764
0.0,0.48758113,0.0,0.0,0.0,5.05,0.0,0.0,0.0,0.0,3.364483372
0.0,2.2355108,0.0,0.0,0.0,4.15,0.0,0.24176782,0.4957239,1.255657,0.637262241
0.0,2.4747014,0.0,0.0,0.0,3.37,0.0,0.0,0.24280342,1.2456912,3.045829175
0.0,1.7387298,0.0,0.51103544,0.0,4.205,0.0,0.0,0.0,1.9931059,10.76705041
0.0,1.9871204,0.0,0.0,0.0,2.175,0.0,0.22162098,0.0,1.9731753,1.388266039
0.0,2.2447107,0.0,0.0,0.0,4.97,0.0,0.0,0.0,2.501348,10.98471849
0.0,2.4838996,0.0,0.0,0.0,4.375,0.0,0.0,0.0,1.9931059,10.15454372
0.0,2.7230911,0.0,0.0,0.0,3.215,0.0,0.25184172,0.0,1.4948294,2.070353444
0.0,3.7442498,0.0,0.0,0.0,3.185,0.0,1.0073669,0.0,0.0,1.391351672
0.2507447,3.7442498,0.0,0.0,0.0,4.83,0.0,0.5137564,0.0,0.0,1.051048648
0.23068562,2.7598906,0.0,0.0,0.0,3.63,0.0,0.0,0.0,1.4848636,3.708388929
0.4914594,0.22079095,0.0,0.7351739,0.0,4.795,0.27697298,0.0,0.0,1.9931059,0.979402224
0.0,2.4839013,0.2501566,0.0,0.49056986,4.81,0.0,0.0,0.0,0.99655294,3.772186281
0.0,1.2511505,0.0,1.2641408,0.0,4.37,0.0,0.0,0.0,2.2422442,5.319845817
0.0,1.5271387,0.0,0.0,0.0,3.395,0.0,0.0,0.0,2.9996235,12.45562437
0.0,0.4967801,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,3.343204326
0.0,0.9659615,0.0,0.0,0.7408631,5.01,0.0,0.0,0.0,2.7405207,13.08367848
0.0,1.9779205,0.0,0.0,0.0,4.985,0.0,0.0,0.0,2.7305548,10.4678417
0.0,0.4967801,0.0,0.0,0.0,4.975,0.0,0.0,0.0,3.7271087,11.17026845
0.0,1.72953,0.0,0.0,0.0,4.995,0.0,0.0,0.0,2.9996245,10.72136
0.0,2.00552,0.0,0.0,0.0,5.015,0.0,0.0,0.0,2.4913824,10.75613923
0.0,1.5087391,0.0,0.0,0.22025761,5.195,0.0,0.0,0.0,2.7405207,13.16660706
0.0,0.25758946,0.0,0.0,0.0,3.825,0.0,0.0,0.0,4.4844894,7.629740634
0.0,0.24839048,0.0,0.0,0.0,3.775,0.0,0.0,0.0,4.2453146,7.544421514
0.0,0.98436034,0.0,0.0,0.0,4.415,0.0,0.0,0.0,3.497901,12.30882041
0.0,0.23919064,0.0,0.0,0.47054705,4.965,0.0,0.0,0.0,3.5078669,3.500046528
0.0,1.2235501,0.0,0.0,0.0,3.775,0.0,0.0,0.0,2.9896588,11.65694143
0.0,1.2235509,0.0,0.0,0.79092157,3.545,0.0,0.0,0.0,2.501348,13.16598789
0.0,1.5087391,0.0,0.0,0.0,5.2,0.0,0.0,0.0,2.9996245,12.72341767
0.0,0.47838128,0.0,0.0,0.0,4.985,0.0,0.0,0.0,0.0,3.345009184
0.0,0.50597996,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,3.224729081
0.0,1.7387298,0.0,0.0,0.0,2.765,0.0,0.0,0.0,2.4814167,8.366314652
0.0,0.72677,0.0,1.4972451,0.0,2.315,0.0,0.0,0.0,2.25221,3.832020731
0.0,1.4903412,0.0,0.0,0.5105936,4.97,0.0,0.0,0.0,2.760452,13.94727676
0.0,1.9779214,0.0,0.0,0.0,2.975,0.0,0.0,0.0,2.7305548,9.690448333
0.0,0.24838872,0.0,1.2641408,0.0,3.335,0.0,0.0,0.0,3.2288322,9.131203377
0.0,0.23919064,0.0,0.0,0.7208393,5.235,0.0,0.0,0.0,3.248762,3.236554458
0.0,0.23918976,0.0,0.50207055,0.7208403,3.85,0.0,0.0,0.0,2.760451,2.641653209
0.0,0.23919064,0.0,1.255176,0.0,4.045,0.0,0.0,0.0,2.9796932,4.204087105
0.0,1.2327508,0.0,0.78000176,0.0,3.195,0.0,0.0,0.0,2.4814177,2.883082203
0.0,0.24839048,0.0,0.0,0.0,2.98,0.0,0.0,0.0,4.494455,8.072881104
0.0,1.4903402,0.0,0.0,0.46053517,3.125,0.0,0.0,0.0,2.2223127,12.78696319
0.0,0.2299908,0.0,0.0,0.47054705,1.685,0.0,0.0,0.0,3.757004,2.706878381
0.0,2.2447107,0.0,0.0,0.0,3.975,0.0,0.0,0.0,2.501348,12.39238252
0.0,0.50597906,0.0,0.0,0.0,4.955,0.0,0.0,0.0,0.0,3.898044026
0.0,1.4995393,0.0,0.0,0.5005827,4.96,0.0,0.0,0.0,2.501348,12.38407812
0.0,1.2327508,0.0,0.0,0.47054705,4.925,0.0,0.0,0.0,2.4913824,13.32278412
0.0,1.2419506,0.0,0.0,0.48055893,4.82,0.0,0.0,0.0,2.7405207,14.13889782
0.0,0.7359716,0.0,0.0,0.0,1.88,0.0,0.0,0.0,3.497901,8.95020822
0.0,1.2419506,0.0,0.0,0.9911535,4.4,0.0,0.0,0.0,1.9931059,14.47267358
0.0,1.9963185,0.0,0.0,0.9911554,2.385,0.0,0.0,0.0,1.2456912,11.62630801
0.0,0.98436034,0.0,0.0,0.0,4.555,0.0,0.0,0.0,3.248762,12.3526236
0.0,1.00276,0.0,0.22413847,0.96111786,1.53,0.0,0.0,0.0,1.2357264,8.663962168
0.0,1.7571295,0.0,0.0,0.23026758,3.415,0.0,0.0,0.0,2.4714508,13.07246019
0.0,1.7755293,0.0,0.0,0.0,3.2,0.0,0.0,0.0,2.760452,11.52263372
0.0,1.7387298,0.0,0.0,0.46053708,4.95,0.0,0.0,0.0,2.2422442,16.05087901
0.0,1.7387298,0.0,0.0,0.0,3.78,0.0,0.0,0.0,2.9896588,11.66371027
0.0,0.23919064,0.0,0.49310395,0.0,4.03,0.0,0.0,0.0,3.507866,9.479991628
0.0,2.244709,0.0,0.0,0.0,1.56,0.0,0.0,0.0,2.2123477,8.039050003
0.0,0.5059808,0.0,0.0,0.0,4.985,0.0,0.0,0.0,0.0,3.397425875
0.0,0.48758113,0.0,0.0,0.0,4.98,0.0,0.0,0.0,0.0,3.250662295
0.0,2.9990792,0.0,0.0,0.23026758,4.16,0.0,0.0,0.0,1.5247258,9.773735236
0.0,1.241949,0.0,0.0,0.4905708,4.865,0.0,0.0,0.0,2.4913824,12.35236647
0.0,0.75436956,0.0,0.0,0.0,4.415,0.0,0.0,0.0,3.9961765,10.90118944
0.0,1.00276,0.0,0.7531054,0.23026949,2.765,0.2667145,0.0,0.0,1.4848636,3.524226711
0.0,1.9963211,0.0,0.0,0.9711297,4.81,0.25645602,0.0,0.0,0.98658717,9.345387171
0.0,0.73596984,0.0,0.50207055,0.0,2.6,0.2154231,0.0,0.0,2.2621746,4.787700499
0.0,2.226311,0.0,0.0,0.0,3.4,0.0,0.0,0.0,2.2621756,10.13426038
0.0,1.517939,0.0,0.0,0.47054896,4.915,0.22568157,0.0,0.0,2.461486,9.888612988
0.0,1.2419506,0.0,0.0,0.4905708,4.66,0.0,0.0,0.0,2.7504864,14.54814548
0.0,1.72953,0.0,0.0,0.0,3.425,0.0,0.0,0.0,2.7504864,11.36972864
0.0,1.2419506,0.0,0.0,0.0,1.995,0.0,0.0,0.0,3.2288313,10.21574758
0.0,1.4811413,0.0,0.2600006,0.4905708,3.77,0.0,0.0,0.0,2.2422442,14.234871
0.0,1.5363386,0.0,0.0,0.74086213,3.755,0.5026536,0.0,0.0,1.4748988,8.793620308
0.0,0.47837952,0.0,0.0,0.25029135,2.83,0.0,0.0,0.0,3.7470393,10.53026297
0.0,0.4967792,0.0,0.0,0.0,5.005,0.0,0.0,0.0,0.0,3.379959981
0.0,0.48758113,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,3.035987696
0.0,1.4995409,0.0,0.0,0.4905708,5.035,0.0,0.0,0.0,2.501348,11.54243671
0.0,1.2419506,0.0,0.0,0.47054705,4.81,0.0,0.0,0.0,2.4814177,12.86655464
0.0,1.5363386,0.0,0.0,0.47054896,4.99,0.0,0.0,0.0,2.2621756,13.0007668
0.0,1.2419506,0.0,0.0,0.4905708,4.85,0.0,0.0,0.0,2.7405207,13.02393913
0.0,1.2419506,0.0,0.0,0.4905708,4.595,0.0,0.0,0.0,2.4814167,12.98787035
0.0,1.4995393,0.0,0.0,0.4905708,5.03,0.24619755,0.0,0.0,2.2322783,8.929775115
0.0,2.2355099,0.0,0.0,0.74086213,4.98,0.0,0.0,0.0,1.4948294,14.25275652
0.0,1.4995409,0.0,0.5110363,0.0,3.16,0.0,0.0,0.0,0.48831072,7.274715283
0.0,0.7451697,0.0,0.0,0.0,2.795,0.0,0.0,0.0,3.7370737,10.38474
0.0,0.98436207,0.0,0.25103486,0.74086213,2.115,0.24619853,0.0,0.0,1.5247258,5.410865979
0.0,1.9871204,0.0,0.2510357,0.0,3.63,0.0,0.0,0.0,2.2322783,11.8543811
0.0,1.7203319,0.0,0.0,0.75087404,5.065,0.0,0.0,0.0,2.0230021,15.30741149
0.0,0.2299908,0.0,0.0,0.0,3.21,0.0,0.0,0.0,4.235349,7.002038091
0.0,0.7451697,0.0,0.0,0.0,2.205,0.0,0.0,0.0,3.7370737,10.41844598
0.0,0.49678096,0.0,0.0,0.0,4.995,0.0,0.0,0.0,0.0,3.20013946
0.0,0.48758113,0.0,0.0,0.0,4.94,0.0,0.0,0.0,0.0,3.028478406
0.0,1.4811413,0.0,0.0,0.48055893,4.8,0.0,0.0,0.0,1.9831401,12.06749521
0.0,1.4811413,0.0,0.0,0.5005827,4.545,0.0,0.0,0.0,1.9931059,12.83530898
0.0,1.7295309,0.0,0.24206996,0.7308503,1.755,0.0,0.0,0.0,0.7474147,8.56435855
0.0,1.7571304,0.0,0.0,0.72083837,4.955,0.27697298,0.0,0.0,1.9731743,8.753400871
0.0,1.4995401,0.0,0.0,1.4817243,3.19,0.0,0.0,0.0,1.4649332,13.48199569
0.0,1.7479306,0.0,0.0,0.7108265,4.82,0.0,0.0,0.0,1.9931059,14.75824343
0.0,1.4995393,0.0,0.0,0.0,4.215,0.0,0.0,0.0,2.7305548,11.19250585
0.0,1.7571295,0.0,0.26896632,0.24027947,4.21,0.0,0.0,0.0,0.24913824,10.81823524
0.0,1.7479297,0.0,0.0,0.0,4.36,0.0,0.0,0.0,2.4913824,10.82905687
0.0,0.47837952,0.0,0.0,0.0,5.055,0.0,0.0,0.0,4.225385,11.65327664
0.0,2.5023,0.0,0.0,0.0,4.635,0.0,0.0,0.0,2.2223136,11.21987341
0.0,0.98436034,0.0,0.0,0.9711297,2.14,0.23594005,0.0,0.0,0.98658717,6.03022559
0.0,1.9871212,0.0,0.0,0.0,4.65,0.0,0.0,0.0,2.4714508,11.58061917
0.0,2.014719,0.0,0.2420691,0.7608859,5.015,0.0,0.0,0.0,1.7439677,16.86850214
0.0,0.48757938,0.0,0.0,0.0,5.025,0.0,0.0,0.0,0.0,3.504815852
0.0,0.49678096,0.0,0.0,0.0,4.97,0.0,0.0,0.0,0.0,3.034946923
0.0,0.97516227,0.0,0.0,0.0,4.19,0.0,0.0,0.0,3.497901,9.879281779
0.0,1.4903394,0.0,0.0,0.48056084,4.215,0.0,0.0,0.0,1.9931059,11.71521678
0.0,1.50874,0.0,0.0,0.74086213,4.375,0.0,0.0,0.0,2.2322783,13.5414615
0.0,2.2447097,0.0,0.0,0.22025569,1.78,0.0,0.0,0.0,1.9831401,7.689822982
0.0,1.7479297,0.0,0.0,0.72083837,4.38,0.0,0.0,0.0,2.2422442,13.59568658
0.0,1.2695484,0.0,0.2420691,0.0,3.63,0.0,0.0,0.0,3.2587285,11.63806138
0.0,2.9898813,0.0,0.0,0.0,4.475,0.0,0.0,0.0,1.4848636,8.882527064
0.0,0.24839048,0.0,0.0,0.0,3.285,0.0,0.0,0.0,4.4844875,6.595518603
0.0,1.9963211,0.0,0.0,0.9811416,1.965,0.0,0.0,0.0,1.7539334,10.47416253
0.0,0.9935602,0.0,0.0,0.0,0.98,0.0,0.0,0.0,3.2587276,5.349851384
0.0,1.4903402,0.0,0.0,0.75087404,4.57,0.0,0.0,0.0,1.9731753,15.02222801
0.0,1.7387298,0.0,0.0,0.0,3.605,0.0,0.0,0.0,2.7405207,10.54815665
0.0,1.7571295,0.0,0.0,0.0,4.15,0.0,0.0,0.0,2.7405207,11.56451731
0.0,1.7479297,0.0,0.0,0.48055893,3.745,0.0,0.0,0.0,2.25221,14.72333402
0.0,0.48758113,0.0,0.0,0.0,5.015,0.0,0.0,0.0,0.0,3.066701154
0.0,0.47837952,0.0,0.0,0.0,5.085,0.0,0.0,0.0,0.0,2.969751005
0.0,1.7387298,0.0,0.0,0.7208403,4.41,0.0,0.0,0.0,2.0030706,4.665261165
0.0,1.7571304,0.0,0.0,0.74086213,4.655,0.0,0.0,0.0,1.9831401,7.370351467
0.0,1.7479297,0.0,0.0,0.48056084,4.355,0.0,0.0,0.0,1.9731753,7.933836532
0.0,1.7571295,0.0,0.24206996,0.72083837,4.995,0.0,0.0,0.0,1.7539334,9.115586611
0.0,2.2447107,0.0,0.26896632,1.2614686,1.4,0.0,0.0,0.0,0.23917247,4.577556119
0.0,1.9871212,0.0,0.0,0.26030132,4.56,0.0,0.0,0.0,2.2422442,9.4166111
0.0,0.75436956,0.0,0.0,0.4905708,4.555,0.0,0.0,0.0,3.0095904,10.29604728
0.0,2.00552,0.0,0.0,0.72083837,2.775,0.0,0.0,0.0,0.48831072,9.141104477
0.0,1.9871212,0.0,0.0,0.22025569,3.605,0.0,0.0,0.0,2.2322793,10.3697353
0.0,1.2327508,0.0,0.0,0.0,2.975,0.0,0.0,0.0,3.2387972,9.609651377
0.0,1.7571295,0.0,0.4931048,0.0,3.0,0.0,0.0,0.0,2.4913824,8.112914982
0.0,1.9779214,0.0,0.0,1.2414448,2.79,0.0,0.0,0.0,1.255657,12.74364646
0.0,1.7479306,0.0,0.0,0.7308503,4.815,0.0,0.0,0.0,1.7439677,15.21585571
0.0,0.50597906,0.0,0.0,0.0,5.01,0.0,0.0,0.0,0.0,3.169738374
0.0,0.48758113,0.0,0.0,0.0,4.97,0.0,0.0,0.0,0.0,2.855834823
0.0,1.0211588,0.0,0.5110363,1.2614686,4.37,0.0,0.0,0.0,1.2357254,0.0
0.0,1.7479306,0.0,0.2420691,0.9711297,4.83,0.0,0.0,0.0,1.7340019,13.56970534
0.0,1.7295309,0.0,0.0,0.7108284,4.805,0.0,0.0,0.0,1.7439677,13.2924402
0.0,1.7295309,0.0,0.23310421,1.0011654,4.985,0.0,0.0,0.0,1.5047942,14.30668701
0.0,0.7359716,0.0,0.0,0.0,4.565,0.0,0.0,0.0,3.4879353,10.53701841
0.0,1.7847291,0.0,0.0,0.74086213,4.625,0.0,0.0,0.0,1.7638992,14.71422175
0.0,1.4903412,0.0,0.0,0.48055893,2.4,0.0,0.0,0.0,0.72748417,11.21088342
0.0,1.4903402,0.0,0.0,2.4828906,4.175,0.0,0.0,0.0,0.21924192,14.74748333
0.0,1.7295309,0.0,0.0,0.48055893,3.04,0.0,0.0,0.0,2.0030715,13.50666224
0.0,2.7690895,0.0,0.5289669,0.0,4.225,0.0,0.0,0.0,0.73744893,9.853652867
0.0,1.011959,0.0,0.0,0.75087404,3.98,0.0,0.0,0.0,1.9831401,15.37084335
0.0,2.9990802,0.0,0.0,0.0,3.4,0.0,0.0,0.0,1.7539334,9.800122214
0.0,0.98436034,0.0,0.0,0.0,4.005,0.23593907,0.0,0.0,3.2487628,7.783503526
0.0,1.7387308,0.0,0.26000145,1.2714804,5.015,0.0,0.0,0.0,1.255656,17.97239462
0.0,0.48758113,0.0,0.0,0.0,4.99,0.0,0.0,0.0,0.0,3.479045085
0.0,0.48757938,0.0,0.0,0.0,4.995,0.0,0.0,0.0,0.0,3.139265726
