tag,source_dataset,target_dataset,mode,seeds,rounds,source_observation_count,final_best_mean,final_best_delta_vs_incumbent,best_so_far_auc_mean,best_so_far_auc_delta_vs_incumbent,bad_intervention_mean,intervention_mean,rejected_good_challenger_mean,llm_call_mean,llm_parse_error_mean
server_multidomain_transfer_10seed,synthetic_chemlex_i,real_chemlex_acidamine,transfer_no_gate,10,10,64,77.295,3.71,72.7545,2.4288,0.8,3.4,0.0,0.0,0.0
server_multidomain_transfer_10seed,synthetic_chemlex_i,real_chemlex_acidamine,transfer_gate_v1,10,10,64,77.295,3.71,72.7545,2.4288,0.8,3.4,0.0,0.0,0.0
server_multidomain_transfer_10seed,synthetic_chemlex_i,real_chemlex_acidamine,transfer_strict_gate_v1,10,10,64,73.585,0.0,70.3257,0.0,0.0,0.0,0.0,0.0,0.0
server_multidomain_transfer_10seed,synthetic_materials_i,real_matbench_expt_gap,no_care_random,10,10,64,49.9625,-8.5625,48.11,-5.3062,0.0,0.0,0.0,0.0,0.0
server_multidomain_transfer_10seed,synthetic_materials_i,real_matbench_expt_gap,incumbent,10,10,64,58.525,0.0,53.4162,0.0,0.0,0.0,0.0,0.0,0.0
server_multidomain_transfer_10seed,synthetic_materials_i,real_matbench_expt_gap,transfer_no_gate,10,10,64,58.525,0.0,53.3875,-0.0287,0.2,0.6,0.0,0.0,0.0
server_multidomain_transfer_10seed,synthetic_materials_i,real_matbench_expt_gap,transfer_gate_v1,10,10,64,58.525,0.0,53.3875,-0.0287,0.2,0.6,0.0,0.0,0.0
server_multidomain_transfer_10seed,synthetic_materials_i,real_matbench_expt_gap,transfer_strict_gate_v1,10,10,64,58.525,0.0,53.4162,0.0,0.0,0.0,0.0,0.0,0.0
server_multidomain_transfer_10seed,synthetic_suzuki_i,real_suzuki_miyaura,no_care_random,10,10,64,88.6413,-2.7222,83.6799,-2.9219,0.0,0.0,0.0,0.0,0.0
server_multidomain_transfer_10seed,synthetic_suzuki_i,real_suzuki_miyaura,incumbent,10,10,64,91.3635,0.0,86.6018,0.0,0.0,0.0,0.0,0.0,0.0
server_multidomain_transfer_10seed,synthetic_suzuki_i,real_suzuki_miyaura,transfer_no_gate,10,10,64,88.1091,-3.2544,85.8841,-0.7177,2.0,4.0,0.0,0.0,0.0
server_multidomain_transfer_10seed,synthetic_suzuki_i,real_suzuki_miyaura,transfer_gate_v1,10,10,64,88.1091,-3.2544,85.8841,-0.7177,2.0,3.9,0.1,0.0,0.0
server_multidomain_transfer_10seed,synthetic_suzuki_i,real_suzuki_miyaura,transfer_strict_gate_v1,10,10,64,91.3801,0.0166,86.5247,-0.0771,2.6,4.0,0.0,0.0,0.0
server_molecular_transfer_20seed,real_moleculenet_esol,real_moleculenet_freesolv,no_care_random,20,10,96,65.9817,-5.4683,60.1767,-0.5165,0.0,0.0,0.0,0.0,0.0
server_molecular_transfer_20seed,real_moleculenet_esol,real_moleculenet_freesolv,incumbent,20,10,96,71.45,0.0,60.6932,0.0,0.0,0.0,0.0,0.0,0.0
server_molecular_transfer_20seed,real_moleculenet_esol,real_moleculenet_freesolv,transfer_no_gate,20,10,96,71.0783,-0.3717,60.8395,0.1463,0.25,0.5,0.0,0.0,0.0
server_molecular_transfer_20seed,real_moleculenet_esol,real_moleculenet_freesolv,transfer_gate_v1,20,10,96,71.0783,-0.3717,60.7087,0.0155,0.2,0.45,0.0,0.0,0.0
server_molecular_transfer_20seed,real_moleculenet_esol,real_moleculenet_freesolv,transfer_strict_gate_v1,20,10,96,71.45,0.0,60.6932,0.0,0.0,0.05,0.0,0.0,0.0
server_molecular_transfer_20seed,real_moleculenet_esol,real_moleculenet_lipophilicity,no_care_random,20,10,96,85.6312,-1.2251,84.88,-0.8794,0.0,0.0,0.0,0.0,0.0
server_molecular_transfer_20seed,real_moleculenet_esol,real_moleculenet_lipophilicity,incumbent,20,10,96,86.8563,0.0,85.7594,0.0,0.0,0.0,0.0,0.0,0.0
server_molecular_transfer_20seed,real_moleculenet_esol,real_moleculenet_lipophilicity,transfer_no_gate,20,10,96,86.9375,0.0812,85.7875,0.0281,0.6,1.4,0.0,0.0,0.0
server_molecular_transfer_20seed,real_moleculenet_esol,real_moleculenet_lipophilicity,transfer_gate_v1,20,10,96,87.2625,0.4062,85.8787,0.1193,0.4,0.75,0.35,0.0,0.0
server_molecular_transfer_20seed,real_moleculenet_esol,real_moleculenet_lipophilicity,transfer_strict_gate_v1,20,10,96,86.8563,0.0,85.7594,0.0,0.1,0.1,0.05,0.0,0.0
server_molecular_transfer_20seed,real_moleculenet_freesolv,real_moleculenet_lipophilicity,no_care_random,20,10,96,85.6312,-1.2251,84.88,-0.8794,0.0,0.0,0.0,0.0,0.0
server_molecular_transfer_20seed,real_moleculenet_freesolv,real_moleculenet_lipophilicity,incumbent,20,10,96,86.8563,0.0,85.7594,0.0,0.0,0.0,0.0,0.0,0.0
server_molecular_transfer_20seed,real_moleculenet_freesolv,real_moleculenet_lipophilicity,transfer_no_gate,20,10,96,86.9813,0.125,85.7537,-0.0057,0.8,1.55,0.0,0.0,0.0
server_molecular_transfer_20seed,real_moleculenet_freesolv,real_moleculenet_lipophilicity,transfer_gate_v1,20,10,96,86.5938,-0.2625,85.64,-0.1194,0.55,0.85,0.35,0.0,0.0
server_molecular_transfer_20seed,real_moleculenet_freesolv,real_moleculenet_lipophilicity,transfer_strict_gate_v1,20,10,96,87.2062,0.3499,85.815,0.0556,0.15,0.55,0.05,0.0,0.0
server_molecular_transfer_20seed,real_moleculenet_lipophilicity,real_moleculenet_freesolv,no_care_random,20,10,96,65.9817,-5.4683,60.1767,-0.5165,0.0,0.0,0.0,0.0,0.0
server_molecular_transfer_20seed,real_moleculenet_lipophilicity,real_moleculenet_freesolv,incumbent,20,10,96,71.45,0.0,60.6932,0.0,0.0,0.0,0.0,0.0,0.0
server_molecular_transfer_20seed,real_moleculenet_lipophilicity,real_moleculenet_freesolv,transfer_no_gate,20,10,96,71.3517,-0.0983,60.9977,0.3045,0.45,0.8,0.0,0.0,0.0
server_molecular_transfer_20seed,real_moleculenet_lipophilicity,real_moleculenet_freesolv,transfer_gate_v1,20,10,96,71.45,0.0,60.6932,0.0,0.15,0.35,0.05,0.0,0.0
server_molecular_transfer_20seed,real_moleculenet_lipophilicity,real_moleculenet_freesolv,transfer_strict_gate_v1,20,10,96,71.45,0.0,60.6932,0.0,0.0,0.0,0.05,0.0,0.0
server_suzuki_to_bh_transfer_30seed_v2,real_suzuki_miyaura,real_buchwald_hartwig,no_care_random,30,10,96,83.7345,-3.1473,79.2249,-1.6026,0.0,0.0,0.0,0.0,0.0
server_suzuki_to_bh_transfer_30seed_v2,real_suzuki_miyaura,real_buchwald_hartwig,incumbent,30,10,96,86.8818,0.0,80.8275,0.0,0.0,0.0,0.0,0.0,0.0
server_suzuki_to_bh_transfer_30seed_v2,real_suzuki_miyaura,real_buchwald_hartwig,transfer_no_gate,30,10,96,89.8725,2.9907,81.641,0.8135,0.9333,2.4333,0.0,0.0,0.0
server_suzuki_to_bh_transfer_30seed_v2,real_suzuki_miyaura,real_buchwald_hartwig,transfer_gate_v1,30,10,96,89.8725,2.9907,81.641,0.8135,0.9333,2.4333,0.0,0.0,0.0
server_suzuki_to_bh_transfer_30seed_v2,real_suzuki_miyaura,real_buchwald_hartwig,transfer_strict_gate_v1,30,10,96,86.7952,-0.0866,80.893,0.0655,0.1,0.4667,0.0,0.0,0.0
server_suzuki_to_bh_llm_audit_10seed,real_suzuki_miyaura,real_buchwald_hartwig,no_care_random,10,10,96,81.8903,-4.7357,78.5358,-3.4488,0.0,0.0,0.0,0.0,0.0
server_suzuki_to_bh_llm_audit_10seed,real_suzuki_miyaura,real_buchwald_hartwig,incumbent,10,10,96,86.626,0.0,81.9846,0.0,0.0,0.0,0.0,0.0,0.0
server_suzuki_to_bh_llm_audit_10seed,real_suzuki_miyaura,real_buchwald_hartwig,transfer_gate_v1,10,10,96,90.098,3.472,82.9136,0.929,1.1,3.5,0.0,0.0,0.0
server_suzuki_to_bh_llm_audit_10seed,real_suzuki_miyaura,real_buchwald_hartwig,llm_audit_transfer_gate_v1,10,10,96,86.626,0.0,81.9846,0.0,0.1,0.1,1.4,2.8,0.0
server_suzuki_to_bh_strict_pos1_30seed,real_suzuki_miyaura,real_buchwald_hartwig,no_care_random,30,10,96,83.7345,-3.1473,79.2249,-1.6026,0.0,0.0,0.0,0.0,0.0
server_suzuki_to_bh_strict_pos1_30seed,real_suzuki_miyaura,real_buchwald_hartwig,incumbent,30,10,96,86.8818,0.0,80.8275,0.0,0.0,0.0,0.0,0.0,0.0
server_suzuki_to_bh_strict_pos1_30seed,real_suzuki_miyaura,real_buchwald_hartwig,transfer_gate_v1,30,10,96,89.8725,2.9907,81.641,0.8135,0.9333,2.4333,0.0,0.0,0.0
server_suzuki_to_bh_strict_pos1_30seed,real_suzuki_miyaura,real_buchwald_hartwig,transfer_strict_gate_v1,30,10,96,86.8901,0.0083,81.0921,0.2646,0.1333,0.3667,0.0333,0.0,0.0
