source_domain,target_domain,method,seed,final_best,best_so_far_auc,simple_regret,top10_hit,intervention_count,bad_intervention_count,selected_patches,proposal_source,proposal_model
suzuki,chemlex,care_no_gate,2,93.1314,91.95623,3.6369,1,8,0,"llm_interaction_patch,target_calibrated_prior",api_source_transfer,openai/gpt-5.6-sol
suzuki,chemlex,care_transfer,2,96.7683,94.21177,0.0,1,0,0,target_only:llm_bo,api_source_transfer,openai/gpt-5.6-sol
real_chemlex_train,real_chemlex_test,random,0,99.29,81.38333,0.71,1,0,0,,api_source_transfer,openai/gpt-5.6-sol
real_chemlex_train,real_chemlex_test,kernel_ucb,0,72.43,72.43,27.57,0,0,0,,api_source_transfer,openai/gpt-5.6-sol
real_chemlex_train,real_chemlex_test,llm_target_only,0,82.34,76.83444,17.66,0,0,0,"role_transfer,target_calibrated_prior,value_prior",api_target_only,openai/gpt-5.6-sol
real_chemlex_train,real_chemlex_test,llm_bo,0,82.34,77.93556,17.66,0,4,0,"role_transfer,target_calibrated_prior",api_target_only,openai/gpt-5.6-sol
real_chemlex_train,real_chemlex_test,llm_transfer,0,83.67,76.17667,16.33,0,8,0,role_transfer,api_source_transfer,openai/gpt-5.6-sol
real_chemlex_train,real_chemlex_test,care_no_gate,0,72.43,72.43,27.57,0,4,0,target_calibrated_prior,api_source_transfer,openai/gpt-5.6-sol
real_chemlex_train,real_chemlex_test,care_transfer,0,82.34,76.83444,17.66,0,0,0,target_only:llm_raw,api_source_transfer,openai/gpt-5.6-sol
real_chemlex_train,real_chemlex_test,random,1,97.93,97.93,2.07,1,0,0,,api_source_transfer,openai/gpt-5.6-sol
real_chemlex_train,real_chemlex_test,kernel_ucb,1,97.93,97.93,2.07,1,0,0,,api_source_transfer,openai/gpt-5.6-sol
real_chemlex_train,real_chemlex_test,llm_target_only,1,97.93,97.93,2.07,1,0,0,"llm_interaction_patch,target_calibrated_prior",api_target_only,openai/gpt-5.6-sol
real_chemlex_train,real_chemlex_test,llm_bo,1,97.93,97.93,2.07,1,6,0,"llm_interaction_patch,target_calibrated_prior",api_target_only,openai/gpt-5.6-sol
real_chemlex_train,real_chemlex_test,llm_transfer,1,97.93,97.93,2.07,1,8,0,role_transfer,api_source_transfer,openai/gpt-5.6-sol
real_chemlex_train,real_chemlex_test,care_no_gate,1,97.93,97.93,2.07,1,6,0,target_calibrated_prior,api_source_transfer,openai/gpt-5.6-sol
real_chemlex_train,real_chemlex_test,care_transfer,1,97.93,97.93,2.07,1,0,0,"target_only:llm_raw,target_only:target_calibrated_prior",api_source_transfer,openai/gpt-5.6-sol
real_chemlex_train,real_chemlex_test,random,2,94.13,94.13,5.87,1,0,0,,api_source_transfer,openai/gpt-5.6-sol
real_chemlex_train,real_chemlex_test,kernel_ucb,2,94.13,94.13,5.87,1,0,0,,api_source_transfer,openai/gpt-5.6-sol
real_chemlex_train,real_chemlex_test,llm_target_only,2,94.13,94.13,5.87,1,0,0,"llm_interaction_patch,role_transfer,value_prior",api_target_only,openai/gpt-5.6-sol
real_chemlex_train,real_chemlex_test,llm_bo,2,94.13,94.13,5.87,1,3,2,"llm_interaction_patch,target_calibrated_prior",api_target_only,openai/gpt-5.6-sol
real_chemlex_train,real_chemlex_test,llm_transfer,2,94.13,94.13,5.87,1,8,0,role_transfer,api_source_transfer,openai/gpt-5.6-sol
real_chemlex_train,real_chemlex_test,care_no_gate,2,94.13,94.13,5.87,1,4,2,target_calibrated_prior,api_source_transfer,openai/gpt-5.6-sol
real_chemlex_train,real_chemlex_test,care_transfer,2,94.13,94.13,5.87,1,0,0,target_only:llm_bo,api_source_transfer,openai/gpt-5.6-sol
