policy_id,kind,gate_round,threshold,hard_abstention,force_fallback,parameter_count,training_mean_auc_delta,training_worst_route_auc_delta,training_wins,training_ties,training_losses,training_switch_count,evaluation_mean_auc_delta,evaluation_worst_route_auc_delta,evaluation_wins,evaluation_ties,evaluation_losses,evaluation_switch_count
prediction_error_r3_t0_hard0,prediction_error_gate,3,0.0,False,False,3,2.134615,-0.52431,6,3,2,11,-1.967696,-12.83401,2,2,2,6
prediction_error_r3_t0_hard1,prediction_error_gate,3,0.0,True,False,3,2.134615,-0.52431,6,3,2,11,-1.967696,-12.83401,2,2,2,6
prediction_error_r3_t2.5_hard0,prediction_error_gate,3,2.5,False,False,3,2.134615,-0.52431,6,3,2,10,-1.967696,-12.83401,2,2,2,6
prediction_error_r3_t2.5_hard1,prediction_error_gate,3,2.5,True,False,3,2.134615,-0.52431,6,3,2,10,-1.967696,-12.83401,2,2,2,6
prediction_error_r3_t5_hard0,prediction_error_gate,3,5.0,False,False,3,2.134615,-0.52431,6,3,2,10,-1.967696,-12.83401,2,2,2,5
prediction_error_r3_t5_hard1,prediction_error_gate,3,5.0,True,False,3,2.134615,-0.52431,6,3,2,10,-1.967696,-12.83401,2,2,2,6
prediction_error_r3_t7.5_hard0,prediction_error_gate,3,7.5,False,False,3,2.10994,-0.52431,5,4,2,9,-1.055769,-5.67214,2,2,2,1
prediction_error_r3_t7.5_hard1,prediction_error_gate,3,7.5,True,False,3,2.10994,-0.52431,5,4,2,9,-1.966297,-12.83401,2,2,2,5
prediction_error_r3_t10_hard0,prediction_error_gate,3,10.0,False,False,3,2.166191,-0.52431,6,3,2,6,-1.055769,-5.67214,2,2,2,1
prediction_error_r3_t10_hard1,prediction_error_gate,3,10.0,True,False,3,2.035732,-0.52431,5,4,2,8,-1.966297,-12.83401,2,2,2,5
prediction_error_r3_t15_hard0,prediction_error_gate,3,15.0,False,False,3,2.101637,-0.71009,6,2,3,5,-1.055769,-5.67214,2,2,2,0
prediction_error_r3_t15_hard1,prediction_error_gate,3,15.0,True,False,3,2.035732,-0.52431,5,4,2,8,-1.966297,-12.83401,2,2,2,5
prediction_error_r3_t20_hard0,prediction_error_gate,3,20.0,False,False,3,2.198001,-0.71009,6,2,3,2,-1.055769,-5.67214,2,2,2,0
prediction_error_r3_t20_hard1,prediction_error_gate,3,20.0,True,False,3,2.132095,-0.52431,5,4,2,6,-1.966297,-12.83401,2,2,2,5
prediction_error_r3_t30_hard0,prediction_error_gate,3,30.0,False,False,3,2.198001,-0.71009,6,2,3,2,-1.055769,-5.67214,2,2,2,0
prediction_error_r3_t30_hard1,prediction_error_gate,3,30.0,True,False,3,2.132095,-0.52431,5,4,2,6,-1.966297,-12.83401,2,2,2,5
prediction_error_r3_t40_hard0,prediction_error_gate,3,40.0,False,False,3,1.753205,-0.71009,6,2,3,0,-1.055769,-5.67214,2,2,2,0
prediction_error_r3_t40_hard1,prediction_error_gate,3,40.0,True,False,3,1.687299,-0.52431,5,4,2,5,-1.966297,-12.83401,2,2,2,5
prediction_error_r3_t60_hard0,prediction_error_gate,3,60.0,False,False,3,1.753205,-0.71009,6,2,3,0,-1.055769,-5.67214,2,2,2,0
prediction_error_r3_t60_hard1,prediction_error_gate,3,60.0,True,False,3,1.687299,-0.52431,5,4,2,5,-1.966297,-12.83401,2,2,2,5
prediction_error_r3_t9999_hard0,prediction_error_gate,3,9999.0,False,False,3,1.753205,-0.71009,6,2,3,0,-1.055769,-5.67214,2,2,2,0
prediction_error_r3_t9999_hard1,prediction_error_gate,3,9999.0,True,False,3,1.687299,-0.52431,5,4,2,5,-1.966297,-12.83401,2,2,2,5
bounded_authority_r4,bounded_authority,4,,False,True,1,2.206483,-0.52431,6,2,3,11,-2.036996,-12.83401,2,2,2,6
prediction_error_r4_t0_hard0,prediction_error_gate,4,0.0,False,False,3,2.206483,-0.52431,6,2,3,11,-2.036996,-12.83401,2,2,2,6
prediction_error_r4_t0_hard1,prediction_error_gate,4,0.0,True,False,3,2.206483,-0.52431,6,2,3,11,-2.036996,-12.83401,2,2,2,6
prediction_error_r4_t2.5_hard0,prediction_error_gate,4,2.5,False,False,3,2.206483,-0.52431,6,2,3,10,-2.036996,-12.83401,2,2,2,6
prediction_error_r4_t2.5_hard1,prediction_error_gate,4,2.5,True,False,3,2.206483,-0.52431,6,2,3,10,-2.036996,-12.83401,2,2,2,6
prediction_error_r4_t5_hard0,prediction_error_gate,4,5.0,False,False,3,2.206483,-0.52431,6,2,3,9,-0.843351,-5.67214,2,2,2,4
prediction_error_r4_t5_hard1,prediction_error_gate,4,5.0,True,False,3,2.206483,-0.52431,6,2,3,9,-2.036996,-12.83401,2,2,2,6
prediction_error_r4_t7.5_hard0,prediction_error_gate,4,7.5,False,False,3,2.206483,-0.52431,6,2,3,9,-1.055769,-5.67214,2,2,2,2
prediction_error_r4_t7.5_hard1,prediction_error_gate,4,7.5,True,False,3,2.206483,-0.52431,6,2,3,9,-2.036996,-12.83401,2,2,2,5
prediction_error_r4_t10_hard0,prediction_error_gate,4,10.0,False,False,3,2.146708,-0.52431,6,2,3,6,-1.055769,-5.67214,2,2,2,2
prediction_error_r4_t10_hard1,prediction_error_gate,4,10.0,True,False,3,2.206483,-0.52431,6,2,3,8,-2.036996,-12.83401,2,2,2,5
prediction_error_r4_t15_hard0,prediction_error_gate,4,15.0,False,False,3,2.233981,-0.52431,6,2,3,5,-1.055769,-5.67214,2,2,2,0
prediction_error_r4_t15_hard1,prediction_error_gate,4,15.0,True,False,3,2.293755,-0.52431,6,2,3,7,-2.036996,-12.83401,2,2,2,5
prediction_error_r4_t20_hard0,prediction_error_gate,4,20.0,False,False,3,2.233981,-0.52431,6,2,3,4,-1.055769,-5.67214,2,2,2,0
prediction_error_r4_t20_hard1,prediction_error_gate,4,20.0,True,False,3,2.293755,-0.52431,6,2,3,6,-2.036996,-12.83401,2,2,2,5
prediction_error_r4_t30_hard0,prediction_error_gate,4,30.0,False,False,3,1.753205,-0.71009,6,2,3,0,-1.055769,-5.67214,2,2,2,0
prediction_error_r4_t30_hard1,prediction_error_gate,4,30.0,True,False,3,1.848959,-0.52431,6,2,3,5,-2.036996,-12.83401,2,2,2,5
prediction_error_r4_t40_hard0,prediction_error_gate,4,40.0,False,False,3,1.753205,-0.71009,6,2,3,0,-1.055769,-5.67214,2,2,2,0
prediction_error_r4_t40_hard1,prediction_error_gate,4,40.0,True,False,3,1.848959,-0.52431,6,2,3,5,-2.036996,-12.83401,2,2,2,5
prediction_error_r4_t60_hard0,prediction_error_gate,4,60.0,False,False,3,1.753205,-0.71009,6,2,3,0,-1.055769,-5.67214,2,2,2,0
prediction_error_r4_t60_hard1,prediction_error_gate,4,60.0,True,False,3,1.848959,-0.52431,6,2,3,5,-2.036996,-12.83401,2,2,2,5
prediction_error_r4_t9999_hard0,prediction_error_gate,4,9999.0,False,False,3,1.753205,-0.71009,6,2,3,0,-1.055769,-5.67214,2,2,2,0
prediction_error_r4_t9999_hard1,prediction_error_gate,4,9999.0,True,False,3,1.848959,-0.52431,6,2,3,5,-2.036996,-12.83401,2,2,2,5
bounded_authority_r5,bounded_authority,5,,False,True,1,2.267534,-0.54275,6,2,3,11,-0.843351,-5.67214,2,2,2,6
prediction_error_r5_t0_hard0,prediction_error_gate,5,0.0,False,False,3,2.267534,-0.54275,6,2,3,11,-0.843351,-5.67214,2,2,2,6
prediction_error_r5_t0_hard1,prediction_error_gate,5,0.0,True,False,3,2.267534,-0.54275,6,2,3,11,-0.843351,-5.67214,2,2,2,6
prediction_error_r5_t2.5_hard0,prediction_error_gate,5,2.5,False,False,3,2.267534,-0.54275,6,2,3,10,-0.843351,-5.67214,2,2,2,6
prediction_error_r5_t2.5_hard1,prediction_error_gate,5,2.5,True,False,3,2.267534,-0.54275,6,2,3,11,-0.843351,-5.67214,2,2,2,6
prediction_error_r5_t5_hard0,prediction_error_gate,5,5.0,False,False,3,2.267534,-0.54275,6,2,3,10,-0.843351,-5.67214,2,2,2,6
prediction_error_r5_t5_hard1,prediction_error_gate,5,5.0,True,False,3,2.267534,-0.54275,6,2,3,11,-0.843351,-5.67214,2,2,2,6
prediction_error_r5_t7.5_hard0,prediction_error_gate,5,7.5,False,False,3,2.267534,-0.54275,6,2,3,8,-0.843351,-5.67214,2,2,2,3
prediction_error_r5_t7.5_hard1,prediction_error_gate,5,7.5,True,False,3,2.267534,-0.54275,6,2,3,10,-0.843351,-5.67214,2,2,2,5
prediction_error_r5_t10_hard0,prediction_error_gate,5,10.0,False,False,3,2.207759,-0.54275,6,2,3,7,-1.055769,-5.67214,2,2,2,0
prediction_error_r5_t10_hard1,prediction_error_gate,5,10.0,True,False,3,2.267534,-0.54275,6,2,3,10,-0.843351,-5.67214,2,2,2,5
prediction_error_r5_t15_hard0,prediction_error_gate,5,15.0,False,False,3,2.213214,-0.54275,6,2,3,5,-1.055769,-5.67214,2,2,2,0
prediction_error_r5_t15_hard1,prediction_error_gate,5,15.0,True,False,3,2.272988,-0.54275,6,2,3,9,-0.843351,-5.67214,2,2,2,5
prediction_error_r5_t20_hard0,prediction_error_gate,5,20.0,False,False,3,2.213214,-0.54275,6,2,3,3,-1.055769,-5.67214,2,2,2,0
prediction_error_r5_t20_hard1,prediction_error_gate,5,20.0,True,False,3,2.272988,-0.54275,6,2,3,8,-0.843351,-5.67214,2,2,2,5
prediction_error_r5_t30_hard0,prediction_error_gate,5,30.0,False,False,3,1.753205,-0.71009,6,2,3,1,-1.055769,-5.67214,2,2,2,0
prediction_error_r5_t30_hard1,prediction_error_gate,5,30.0,True,False,3,1.828192,-0.54275,6,2,3,7,-0.843351,-5.67214,2,2,2,5
prediction_error_r5_t40_hard0,prediction_error_gate,5,40.0,False,False,3,1.753205,-0.71009,6,2,3,0,-1.055769,-5.67214,2,2,2,0
prediction_error_r5_t40_hard1,prediction_error_gate,5,40.0,True,False,3,1.828192,-0.54275,6,2,3,7,-0.843351,-5.67214,2,2,2,5
prediction_error_r5_t60_hard0,prediction_error_gate,5,60.0,False,False,3,1.753205,-0.71009,6,2,3,0,-1.055769,-5.67214,2,2,2,0
prediction_error_r5_t60_hard1,prediction_error_gate,5,60.0,True,False,3,1.828192,-0.54275,6,2,3,7,-0.843351,-5.67214,2,2,2,5
prediction_error_r5_t9999_hard0,prediction_error_gate,5,9999.0,False,False,3,1.753205,-0.71009,6,2,3,0,-1.055769,-5.67214,2,2,2,0
prediction_error_r5_t9999_hard1,prediction_error_gate,5,9999.0,True,False,3,1.828192,-0.54275,6,2,3,7,-0.843351,-5.67214,2,2,2,5
